timestamp,elapsed_time,temperature,x_m,y_m,z_m,x_mm,y_mm,z_mm,count,flag
2025-12-03T12:01:36.155857,0.0008912086486816406,29.1627952,-5.7220458984375e-06,2.384185791015625e-07,3.337860107421875e-06,-0.0057220458984375,0.0002384185791015625,0.003337860107421875,2,0
2025-12-03T12:01:36.156089,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-2.384185791015625e-07,3.5762786865234375e-06,-0.0054836273193359375,-0.0002384185791015625,0.0035762786865234375,3,0
2025-12-03T12:01:36.156167,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-2.384185791015625e-07,4.0531158447265625e-06,-0.0054836273193359375,-0.0002384185791015625,0.0040531158447265625,0,0
2025-12-03T12:01:36.156712,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-7.152557373046875e-07,4.291534423828125e-06,-0.0054836273193359375,-0.0007152557373046875,0.004291534423828125,1,0
2025-12-03T12:01:36.156966,0.0008912086486816406,29.1627952,-5.245208740234375e-06,-9.5367431640625e-07,4.5299530029296875e-06,-0.005245208740234375,-0.00095367431640625,0.0045299530029296875,2,0
2025-12-03T12:01:36.157122,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-1.430511474609375e-06,4.76837158203125e-06,-0.0054836273193359375,-0.001430511474609375,0.00476837158203125,3,0
2025-12-03T12:01:36.157325,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-1.6689300537109375e-06,5.0067901611328125e-06,-0.0054836273193359375,-0.0016689300537109375,0.0050067901611328125,0,0
2025-12-03T12:01:36.157530,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-2.1457672119140625e-06,5.245208740234375e-06,-0.0054836273193359375,-0.0021457672119140625,0.005245208740234375,1,0
2025-12-03T12:01:36.157766,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-2.384185791015625e-06,5.7220458984375e-06,-0.0054836273193359375,-0.002384185791015625,0.0057220458984375,2,0
2025-12-03T12:01:36.157939,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-2.86102294921875e-06,6.4373016357421875e-06,-0.0054836273193359375,-0.00286102294921875,0.0064373016357421875,3,0
2025-12-03T12:01:36.158053,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-3.337860107421875e-06,6.9141387939453125e-06,-0.0054836273193359375,-0.003337860107421875,0.0069141387939453125,0,0
2025-12-03T12:01:36.158156,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-3.5762786865234375e-06,7.3909759521484375e-06,-0.0054836273193359375,-0.0035762786865234375,0.0073909759521484375,1,0
2025-12-03T12:01:36.158266,0.0008912086486816406,29.1627952,-5.245208740234375e-06,-3.814697265625e-06,7.3909759521484375e-06,-0.005245208740234375,-0.003814697265625,0.0073909759521484375,2,0
2025-12-03T12:01:36.159047,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-4.291534423828125e-06,7.867813110351562e-06,-0.0054836273193359375,-0.004291534423828125,0.007867813110351562,3,0
2025-12-03T12:01:36.159246,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-4.76837158203125e-06,8.344650268554688e-06,-0.0054836273193359375,-0.00476837158203125,0.008344650268554688,0,0
2025-12-03T12:01:36.159319,0.0008912086486816406,29.1627952,-5.7220458984375e-06,-4.76837158203125e-06,8.821487426757812e-06,-0.0057220458984375,-0.00476837158203125,0.008821487426757812,1,0
2025-12-03T12:01:36.159380,0.0008912086486816406,29.1627952,-5.7220458984375e-06,-5.245208740234375e-06,9.298324584960938e-06,-0.0057220458984375,-0.005245208740234375,0.009298324584960938,2,0
2025-12-03T12:01:36.159441,0.0008912086486816406,29.1627952,-5.9604644775390625e-06,-5.7220458984375e-06,9.298324584960938e-06,-0.0059604644775390625,-0.0057220458984375,0.009298324584960938,3,0
2025-12-03T12:01:36.159499,0.0008912086486816406,29.1627952,-5.7220458984375e-06,-5.7220458984375e-06,9.5367431640625e-06,-0.0057220458984375,-0.0057220458984375,0.0095367431640625,0,0
2025-12-03T12:01:36.159556,0.0008912086486816406,29.1627952,-5.245208740234375e-06,-6.198883056640625e-06,9.775161743164062e-06,-0.005245208740234375,-0.006198883056640625,0.009775161743164062,1,0
2025-12-03T12:01:36.159613,0.0008912086486816406,29.1627952,-5.0067901611328125e-06,-6.67572021484375e-06,9.775161743164062e-06,-0.0050067901611328125,-0.00667572021484375,0.009775161743164062,2,0
2025-12-03T12:01:36.159781,0.0008912086486816406,29.1627952,-5.0067901611328125e-06,-7.152557373046875e-06,9.775161743164062e-06,-0.0050067901611328125,-0.007152557373046875,0.009775161743164062,3,0
2025-12-03T12:01:36.159854,0.0008912086486816406,29.1627952,-5.245208740234375e-06,-7.152557373046875e-06,9.775161743164062e-06,-0.005245208740234375,-0.007152557373046875,0.009775161743164062,0,0
2025-12-03T12:01:36.159910,0.0008912086486816406,29.1627952,-5.4836273193359375e-06,-7.152557373046875e-06,9.775161743164062e-06,-0.0054836273193359375,-0.007152557373046875,0.009775161743164062,1,0
2025-12-03T12:01:36.159963,0.0008912086486816406,29.1627952,-5.9604644775390625e-06,-7.152557373046875e-06,9.5367431640625e-06,-0.0059604644775390625,-0.007152557373046875,0.0095367431640625,2,0
2025-12-03T12:01:36.160015,0.0008912086486816406,29.1627952,-5.9604644775390625e-06,-7.152557373046875e-06,9.298324584960938e-06,-0.0059604644775390625,-0.007152557373046875,0.009298324584960938,3,0
